Centro Poblado,Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,C_Aerodromo,C_Regional,C_Nacional,C_Internacional
EL OKAL,True,PUERTO PERALES,25.105859415113503,MORELA,62.323199279719994,YARIGUIES,139.407646515126,JOSE M. CORDOVA,120.375207980701,True,False,False,False
EL TRIQUE,True,PUERTO PERALES,12.8771338848295,MORELA,66.98254530593701,OLAYA HERRERA,119.367719904986,JOSE M. CORDOVA,99.8462780565135,True,False,False,False
KILÓMETRO 11,True,PUERTO PERALES,10.1183215668496,MORELA,58.68153654883861,OLAYA HERRERA,124.491342854821,JOSE M. CORDOVA,105.029125466843,True,False,False,False
MUELLE VELÁSQUEZ,True,PUERTO PERALES,10.5776590409585,MORELA,46.1170378495609,OLAYA HERRERA,121.81663743623301,JOSE M. CORDOVA,102.643223674493,True,False,False,False
PUERTO NIÑO,True,PUERTO PERALES,6.391545136396901,MORELA,61.2886636008889,OLAYA HERRERA,115.08281121378799,JOSE M. CORDOVA,95.5890242920103,True,False,False,False
KILÓMETRO UNO Y MEDIO,True,PUERTO PERALES,6.346560602642129,MORELA,61.1772105042696,OLAYA HERRERA,115.685539387185,JOSE M. CORDOVA,96.1925576152146,True,False,False,False
LA CEIBA,True,EL ALGARROBO,33.6119841352892,LAS BRUJAS,55.392035854613894,LOS GARZONES,93.3080930709152,RAFAEL NUÑEZ,177.510932190716,True,False,False,False
PALAGUA SEGUNDO SECTOR,True,FURATENA,31.528883679674,MORELA,75.6452578938462,YARIGUIES,147.652819825022,EL DORADO,122.044917802045,True,False,False,False
QUÍPAMA,True,FURATENA,1.43553874693869,JOSE CELESTINO,85.23153752847959,LA NUBIA,152.709840573808,EL DORADO,90.87377147673028,True,False,False,False
CORMAL,True,FURATENA,8.08153089199584,JOSE CELESTINO,83.98383090214949,LA NUBIA,150.789073221578,EL DORADO,99.0427507461756,True,False,False,False
EL PARQUE,True,FURATENA,5.16898729624765,JOSE CELESTINO,82.52724699078409,LA NUBIA,150.137665006893,EL DORADO,86.7836147992412,True,False,False,False
HUMBO,True,FURATENA,12.523502913784199,JOSE CELESTINO,79.7884655766036,LA NUBIA,146.222140804262,EL DORADO,100.631853303173,True,False,False,False
EL MANGO (LA YE),True,MUZO,3.00704179372734,JOSE CELESTINO,90.3229025215108,LA NUBIA,157.841384407806,EL DORADO,91.8778994088185,True,False,False,False
