,NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha,Flag
388,AMAGA,1775509350.0,219106.0,2016_05,0
389,AMAGA,1676150150.0,210008.0,2016_06,0
390,AMAGA,1696085700.0,217154.0,2016_07,0
391,AMAGA,1867129350.0,231049.0,2016_08,0
392,AMAGA,1601802800.0,199433.0,2016_09,0
393,AMAGA,1711778700.0,217315.0,2016_10,0
394,AMAGA,1619610800.0,201518.0,2016_11,0
395,AMAGA,1864110800.0,238203.0,2016_12,0
396,AMAGA,1874218800.0,233664.0,2017_01,0
397,AMAGA,1571031750.0,185859.0,2017_02,0
398,AMAGA,1705003600.0,203793.0,2017_03,0
399,AMAGA,1795704000.0,214663.0,2017_04,0
400,AMAGA,1771529850.0,209058.0,2017_05,0
401,AMAGA,1842385800.0,218307.0,2017_06,0
402,AMAGA,1901705000.0,227765.0,2017_07,0
403,AMAGA,1808113500.0,217318.0,2017_08,0
404,AMAGA,1548714300.0,183491.0,2017_09,0
405,AMAGA,1823240100.0,216532.0,2017_10,0
406,AMAGA,1855354050.0,220388.0,2017_11,0
407,AMAGA,2163210550.0,261140.0,2017_12,1
408,AMAGA,2100717800.0,2100717800.0,2018_01,1
409,AMAGA,1663976350.0,1663976350.0,2018_02,0
410,AMAGA,2030450300.0,2030450300.0,2018_03,1
411,AMAGA,1821062100.0,1821062100.0,2018_04,0
412,AMAGA,1226332200.0,1226332200.0,2018_05,0
413,AMAGA,1530527600.0,1530527600.0,2018_06,0
414,AMAGA,1773198150.0,1773198150.0,2018_07,0
415,AMAGA,1899270950.0,1899270950.0,2018_08,0
416,AMAGA,1758902300.0,1758902300.0,2018_09,0
417,AMAGA,1852465800.0,1852465800.0,2018_10,0
418,AMAGA,1866120750.0,1866120750.0,2018_11,0
419,AMAGA,2185983800.0,2185983800.0,2018_12,1
420,BAYUNCA,1174686600.0,109202.0,2014_01,0
421,BAYUNCA,1137150300.0,100594.0,2014_02,0
422,BAYUNCA,1300411700.0,112870.0,2014_03,0
423,BAYUNCA,1240822050.0,110187.0,2014_04,0
424,BAYUNCA,1228851300.0,107831.0,2014_05,0
425,BAYUNCA,1184014500.0,105540.0,2014_06,0
426,BAYUNCA,1279117500.0,113205.0,2014_07,0
427,BAYUNCA,1235306900.0,109642.0,2014_08,0
428,BAYUNCA,1200563000.0,104981.0,2014_09,0
429,BAYUNCA,1218377300.0,108231.0,2014_10,0
430,BAYUNCA,1110101800.0,100211.0,2014_11,0
431,BAYUNCA,1251137300.0,113532.0,2014_12,0
432,BAYUNCA,1249659300.0,111699.0,2015_01,0
433,BAYUNCA,1172152600.0,100818.0,2015_02,0
434,BAYUNCA,1304123700.0,112188.0,2015_03,0
435,BAYUNCA,1251089100.0,109838.0,2015_04,0
436,BAYUNCA,1245840700.0,109100.0,2015_05,0
437,BAYUNCA,1249526500.0,110744.0,2015_06,0
438,BAYUNCA,1324249100.0,115859.0,2015_07,0
439,BAYUNCA,1288509700.0,112491.0,2015_08,0
440,BAYUNCA,1277725650.0,109173.0,2015_09,0
441,BAYUNCA,1439170800.0,120348.0,2015_10,0
442,BAYUNCA,1346416200.0,112816.0,2015_11,0
443,BAYUNCA,1434160900.0,124717.0,2015_12,0
444,BAYUNCA,1343467100.0,116947.0,2016_01,0
445,BAYUNCA,1305052500.0,109844.0,2016_02,0
446,BAYUNCA,1438935400.0,119595.0,2016_03,0
447,BAYUNCA,1371641100.0,112577.0,2016_04,0
448,BAYUNCA,1301597700.0,111040.0,2016_05,0
449,BAYUNCA,1333453700.0,112857.0,2016_06,0
450,BAYUNCA,1315090700.0,115163.0,2016_07,0
451,BAYUNCA,1415666800.0,118406.0,2016_08,0
452,BAYUNCA,1390403100.0,114666.0,2016_09,0
453,BAYUNCA,1395447200.0,116168.0,2016_10,0
454,BAYUNCA,1376007000.0,114654.0,2016_11,0
455,BAYUNCA,1520075300.0,128365.0,2016_12,0
456,BAYUNCA,1455825650.0,120043.0,2017_01,0
457,BAYUNCA,1424140100.0,112217.0,2017_02,0
458,BAYUNCA,1526996900.0,121321.0,2017_03,0
459,BAYUNCA,1435524900.0,115142.0,2017_04,0
460,BAYUNCA,1460024100.0,116553.0,2017_05,0
461,BAYUNCA,1461319200.0,116578.0,2017_06,0
462,BAYUNCA,1467725400.0,115777.0,2017_07,0
463,BAYUNCA,1553339500.0,119746.0,2017_08,0
464,BAYUNCA,1423128800.0,114755.0,2017_09,0
465,BAYUNCA,1440317800.0,114142.0,2017_10,0
466,BAYUNCA,1388133400.0,109888.0,2017_11,0
467,BAYUNCA,1449530550.0,119510.0,2017_12,0
468,BAYUNCA,1417575100.0,114486.0,2018_01,0
469,BAYUNCA,1369770800.0,104573.0,2018_02,0
470,BAYUNCA,1488487700.0,114730.0,2018_03,0
471,BAYUNCA,1506797400.0,113303.0,2018_04,0
472,BAYUNCA,1461157200.0,110741.0,2018_05,0
473,BAYUNCA,1398270100.0,109256.0,2018_06,0
474,BAYUNCA,1440023300.0,112698.0,2018_07,0
475,BAYUNCA,1440085400.0,110426.0,2018_08,0
476,BAYUNCA,1380306600.0,104440.0,2018_09,0
477,BAYUNCA,1484881100.0,112553.0,2018_10,0
478,BAYUNCA,1416189100.0,107473.0,2018_11,0
479,BAYUNCA,1545802200.0,119082.0,2018_12,0
480,BRISAS,0.0,0.0,2014_01,0
481,BRISAS,0.0,0.0,2014_02,0
482,BRISAS,0.0,0.0,2014_03,0
483,BRISAS,0.0,0.0,2014_04,0
484,BRISAS,0.0,0.0,2014_05,0
485,BRISAS,0.0,0.0,2014_06,0
