codigo,nombre,departamento,tipo
MTI_O,TIQUIE,Vaupés,aero_origen
MTN_O,BUENOS AIRES,Vaupés,aero_origen
MTR_O,LOS GARZONES,Córdoba,aero_origen
MTS_O,TERESITA,Vaupés,aero_origen
MTT_O,CACHIPORRO,Vaupés,aero_origen
MTU_O,MATUPA,Meta,aero_origen
MUR_O,TAPURUCUARA,Vaupés,aero_origen
MUT_O,ATAHUALPA,Antioquia,aero_origen
MVA_O,VILLA GLADYS,Vaupés,aero_origen
MVI_O,VILLA FATIMA,Vaupés,aero_origen
MVN_O,VILLA NUEVA,Vaupés,aero_origen
MVP_O,FABIO A. LEON BENTLEY,Vaupés,aero_origen
MVU_O,LOS ANGELES,Vaupés,aero_origen
MWA_O,WAINAMBI,Vaupés,aero_origen
MWY_O,WASAY,Vaupés,aero_origen
MYA_O,YAPU,Vaupés,aero_origen
MYY_O,YAVARATE,Vaupés,aero_origen
MZL_O,LA NUBIA,Caldas,aero_origen
NAR_O,PUERTO NARE,Antioquia,aero_origen
NAT_O,SAN GERMAN,Tolima,aero_origen
NCI_O,NECOCLI,Antioquia,aero_origen
NFA_O,NUEVA FORTUNA,Antioquia,aero_origen
NQU_O,REYES MURILLO,Chocó,aero_origen
NUC_O,LA FLORA,Casanare,aero_origen
NUN_O,EL DESECHO,Casanare,aero_origen
NVA_O,BENITO SALAS,Huila,aero_origen
OCE_O,EL VIEJO CARMEN,Casanare,aero_origen
OCU_O,BUENAVISTA,Casanare,aero_origen
OCV_O,AGUAS CLARAS,Norte de Santander,aero_origen
OOR_O,SAN PABLO,Casanare,aero_origen
ORA_O,GUARILAQUE,Casanare,aero_origen
ORC_O,OROCUE,Casanare,aero_origen
ORE_O,EL CAIMAN,Casanare,aero_origen
ORH_O,ORIHUECA,Magdalena,aero_origen
ORI_O,ORITO,Putumayo,aero_origen
ORJ_O,LA CULEBRA,Casanare,aero_origen
ORO_O,GUANAPALO,Casanare,aero_origen
ORS_O,SARDINAS,Casanare,aero_origen
ORU_O,EL MEDANO,Casanare,aero_origen
ORX_O,LA CANDELARIA,Casanare,aero_origen
OTU_O,REMEDIOS OTU,Antioquia,aero_origen
PAL_O,PALACIO MUNICIPAL,Antioquia,aero_origen
PBE_O,MORELA,Antioquia,aero_origen
PBN_O,NICOLAS E.SOTO,Boyacá,aero_origen
PBO_O,PUERTO BOLIVAR,La Guajira,aero_origen
PBR_O,LA PONDEROSA,Cundinamarca,aero_origen
PCA_O,PACOA,Vaupés,aero_origen
PCE_O,CUMARIBO,Vichada,aero_origen
PCH_O,ALPES -PACHAQ.,Meta,aero_origen
PCJ_O,PUERTO ALVIRA -CAÑO JABON,Meta,aero_origen
PCO_O,PARACO,Bolívar,aero_origen
PCR_O,GERMAN OLANO,Vichada,aero_origen
PDE_O,LA VENGANZA,Casanare,aero_origen
PDR_O,LA COLONIA,Casanare,aero_origen
PEI_O,MATECAÑA,Risaralda,aero_origen
PFO_O,PUERTO PERALES,Antioquia,aero_origen
PGA_O,PRAGA,Valle del Cauca,aero_origen
PGM_O,PUERTO GAITAN,Meta,aero_origen
PGN_O,SABANETA,Meta,aero_origen
PGP_O,LA PLATA PUERTO TRUJILLO,Meta,aero_origen
PGT_O,MORELIA,Meta,aero_origen
PID_O,PUERTO INIRIDA,Guainía,aero_origen
PII_O,SAN FELIPE,Guainía,aero_origen
PIM_O,LA PRIMAVERA,Vichada,aero_origen
PIP_O,PAIPA JUAN JOSE RONDON,Boyacá,aero_origen
PLA_O,PLANADAS,Tolima,aero_origen
PLD_O,SAN ISIDRO,Meta,aero_origen
PLL_O,PUERTO LLERAS,Meta,aero_origen
PLN_O,PALONEGRO-NORTE,Cesar,aero_origen
PLS_O,TOBASIA,Meta,aero_origen
PLT_O,LAS FLORES,Magdalena,aero_origen
PMO_O,SAN LUIS,Huila,aero_origen
PNQ_O,PINOQUIA,Vichada,aero_origen
PPN_O,GUILLERMO LEON VALENCIA,Cauca,aero_origen
PPT_O,POTRERITO,Tolima,aero_origen
PQE_O,PALANQUERO -GERMAN OLANO,Cundinamarca,aero_origen
PRA_O,LA OPIA,Tolima,aero_origen
PRC_O,PUERTO RICO,Caquetá,aero_origen
PRE_O,SAN JOSE DE OCUNE,Vichada,aero_origen
PRI_O,PRIMERO DE MAYO,Cundinamarca,aero_origen
PRO_O,PORORO,Cesar,aero_origen
PRR_O,JIBICI,Vichada,aero_origen
PSO_O,ANTONIO NARIÑO,Nariño,aero_origen
PTA_O,PALESTINA,Magdalena,aero_origen
PTC_O,LA VICTORIA,Vichada,aero_origen
PTE_O,LA REFORMA,Meta,aero_origen
PTL_O,CONTADOR,Huila,aero_origen
PTO_O,PIRIRI,Meta,aero_origen
PTS_O,LA ESPERANZA,Cundinamarca,aero_origen
PTW_O,GEMELOS DORADOS,Santander,aero_origen
PTZ_O,YATAROS DE MELUA,Meta,aero_origen
PUE_O,PUERTO RICO,Meta,aero_origen
PUL_O,GAVIOTAS,Meta,aero_origen
PUU_O,TRES DE MAYO,Putumayo,aero_origen
PVA_O,EL EMBRUJO,San Andrés islas,aero_origen
PVO_O,EL ALGODONAL,Córdoba,aero_origen
PWI_O,PUERTO WILCHES,Santander,aero_origen
PWT_O,PUERTO WILCHES,Santander,aero_origen
PZA_O,PAZ DE ARIPORO,Casanare,aero_origen
PZI_O,VENECIA DE LAS GUAMAS,Casanare,aero_origen
PZR_O,CHAPARRITO,Casanare,aero_origen
QPM_O,FURATENA,Boyacá,aero_origen
QQA_O,VILLANUEVA,Casanare,aero_origen
RAV_O,CRAVO NORTE,Arauca,aero_origen
RCH_O,ALMIRANTE PADILLA,La Guajira,aero_origen
RDN_O,RONDON,Arauca,aero_origen
RVE_O,COLONIZADORES,Arauca,aero_origen
SAA_O,SANTA ANA,Casanare,aero_origen
SAS_O,SAN CARLOS,Casanare,aero_origen
SBD_O,LA MAGDALENA,Santander,aero_origen
SBT_O,LAS CRUCES,Santander,aero_origen
SCG_O,EL PRADO,Meta,aero_origen
SCS_O,SAN CARLOS DEL PLANAS,Vichada,aero_origen
SCY_O,SAN JERONIMO,Tolima,aero_origen
SDG_O,LA MANSION,Meta,aero_origen
SFA_O,SANTAFE DE ANTIOQUIA,Antioquia,aero_origen
SGG_O,LA FLORIDA,Meta,aero_origen
SGL_O,SAN GIL - LOS POZOS,Santander,aero_origen
SGU_O,YAGUARITO,Meta,aero_origen
SHL_O,SANTA HELENA DE UPIA,Casanare,aero_origen
SIR_O,SIRENAS,Casanare,aero_origen
SIS_O,SANTA ISABEL,Vaupés,aero_origen
SJE_O,JORGE E. GONZALEZ T.,Guaviare,aero_origen
SJR_O,SAN JUAN DE URABA,Antioquia,aero_origen
SKGB_O,"MARCO FIDEL SUAREZ  ""AFB""",Valle del Cauca,aero_origen
SKTI_O,"TOLEMAIDA ""AFB""",Tolima,aero_origen
SLM_O,SAN LUIS,Meta,aero_origen
SMA_O,AGUAS BLANCAS,Cesar,aero_origen
SMR_O,SIMON BOLIVAR,Magdalena,aero_origen
SMT_O,LA CAPRICHOSA,Meta,aero_origen
SNG_O,SANTIAGO No.1,Casanare,aero_origen
SNL_O,HIPILANDIA,Cesar,aero_origen
SNM_O,LA DIVA,Magdalena,aero_origen
SNP_O,SAN PABLO,Córdoba,aero_origen
SNR_O,SAN MARTIN,Meta,aero_origen
SNU_O,SAN MIGUEL,Meta,aero_origen
SOR_O,EL RINCON DE MUCURA,Sucre,aero_origen
SOX_O,ALBERTO LLERAS CAMARGO,Boyacá,aero_origen
SPD_O,SAN PEDRO DE URABA,Antioquia,aero_origen
SPE_O,SAN PEDRO CORAL,Sucre,aero_origen
SRB_O,SANTA ROSA DE SIMITI,Bolívar,aero_origen
SRO_O,SANTA ROSALIA,Vichada,aero_origen
SRS_O,EL ALGARROBO,Sucre,aero_origen
SRV_O,LOS COLONIZADORES,Arauca,aero_origen
SSC_O,SALA 77,Cesar,aero_origen
SSL_O,FALCON,Tolima,aero_origen
STA_O,EL EDEN,Magdalena,aero_origen
SVI_O,EDUARDO FALLA SOLANO,Caquetá,aero_origen
SVT_O,SAN VICENTE DE CHUCURI,Santander,aero_origen
TAP_O,TARAPACA,Amazonas,aero_origen
TAR_O,TARAIRA,Vaupés,aero_origen
TBQ_O,TIMBIQUI,Cauca,aero_origen
TBU_O,TIBU,Norte de Santander,aero_origen
TCO_O,LA FLORIDA,Nariño,aero_origen
TDA_O,TRINIDAD,Casanare,aero_origen
TDI_O,ELF TRINIDAD,Casanare,aero_origen
TIB_O,TIERRA BLANCA,Valle del Cauca,aero_origen
TLU_O,TOLU,Sucre,aero_origen
TME_O,GUSTAVO VARGAS,Arauca,aero_origen
TNU_O,PROVIDENCIA,Casanare,aero_origen
TPI_O,TOMACHIPAN,Guaviare,aero_origen
TQS_O,SOLANO,Caquetá,aero_origen
TRB_O,GONZALO MEJIA,Antioquia,aero_origen
TRD_O,PALMARITO 2,Casanare,aero_origen
TRI_O,LOS TOROS,Casanare,aero_origen
TRP_O,TARAPACA,Amazonas,aero_origen
TRR_O,TRES RIOS,Guaviare,aero_origen
TUN_O,TUNJA,Boyacá,aero_origen
UIB_O,EL CARAÑO,Chocó,aero_origen
ULQ_O,FARFAN HERIBERTO GIL MAR,Valle del Cauca,aero_origen
URA_O,PUERTO ESTRELLA,La Guajira,aero_origen
URM_O,URIBE,Meta,aero_origen
URR_O,ALI PIEDRAHITA,Antioquia,aero_origen
VAL_O,VALENCIA,Córdoba,aero_origen
VAP_O,CAMPO ALEGRE,Cesar,aero_origen
VAR_O,VARSOVIA,Caquetá,aero_origen
VCC_O,EL DIAMANTE,Meta,aero_origen
VDF_O,VIGIA DEL FUERTE,Antioquia,aero_origen
VDP_O,MADACI,Cesar,aero_origen
VEL_O,VELASQUEZ,Boyacá,aero_origen
VGP_O,CANANGUCHAL,Putumayo,aero_origen
VIC_O,EL CONVENTO,Meta,aero_origen
VIH_O,VISTA HERMOSA,Meta,aero_origen
VIL_O,PALMAS DEL CASANARE,Casanare,aero_origen
VLA_O,VILLANUEVA,Casanare,aero_origen
VLL_O,VILLANUEVA,La Guajira,aero_origen
VLU_O,PALMAR DE ORIENTE,Casanare,aero_origen
