NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha
ALTAMIRA,849542000.0,101005.0,2016_03
ALTAMIRA,775343900.0,89415.0,2016_04
ALTAMIRA,836189800.0,96922.0,2016_05
ALTAMIRA,782643600.0,92988.0,2016_06
ALTAMIRA,797252500.0,97479.0,2016_07
ALTAMIRA,899136600.0,104534.0,2016_08
ALTAMIRA,890835600.0,101744.0,2016_09
ALTAMIRA,986426700.0,113812.0,2016_10
ALTAMIRA,976688000.0,111004.0,2016_11
ALTAMIRA,1083914600.0,125534.0,2016_12
ALTAMIRA,1026025200.0,117938.0,2017_01
ALTAMIRA,831348800.0,88895.0,2017_02
ALTAMIRA,922533400.0,98913.0,2017_03
ALTAMIRA,945317700.0,105715.0,2017_04
ALTAMIRA,859769500.0,95013.0,2017_05
ALTAMIRA,907360800.0,99422.0,2017_06
ALTAMIRA,937902900.0,102869.0,2017_07
ALTAMIRA,937030100.0,102568.0,2017_08
ALTAMIRA,862162100.0,94784.0,2017_09
ALTAMIRA,913620100.0,101393.0,2017_10
ALTAMIRA,909386800.0,100920.0,2017_11
ALTAMIRA,1047607000.0,117914.0,2017_12
ALTAMIRA,1052404750.0,101016.0,2018_01
ALTAMIRA,820941300.0,85340.0,2018_02
ALTAMIRA,964838000.0,98276.0,2018_03
ALTAMIRA,832832200.0,93962.0,2018_04
ALTAMIRA,883287900.0,93823.0,2018_05
ALTAMIRA,842452800.0,91076.0,2018_06
ALTAMIRA,878718500.0,97179.0,2018_07
ALTAMIRA,878398600.0,94174.0,2018_08
ALTAMIRA,851838800.0,88958.0,2018_09
ALTAMIRA,946871200.0,89538.0,2018_10
ALTAMIRA,951010200.0,88780.0,2018_11
ALTAMIRA,1088629800.0,112008.0,2018_12
ALTO PINO,801339700.0,90028.0,2014_01
ALTO PINO,630348700.0,68820.0,2014_02
ALTO PINO,664797400.0,72522.0,2014_03
ALTO PINO,677427600.0,74268.0,2014_04
ALTO PINO,673955900.0,75313.0,2014_05
ALTO PINO,685687500.0,74567.0,2014_06
ALTO PINO,720575500.0,77920.0,2014_07
ALTO PINO,690469500.0,74311.0,2014_08
ALTO PINO,638940100.0,68660.0,2014_09
ALTO PINO,624087200.0,67749.0,2014_10
ALTO PINO,632359900.0,68918.0,2014_11
ALTO PINO,726667100.0,84597.0,2014_12
ALTO PINO,672715700.0,75842.0,2015_01
ALTO PINO,552913500.0,60636.0,2015_02
ALTO PINO,644531100.0,70308.0,2015_03
ALTO PINO,634068600.0,69301.0,2015_04
ALTO PINO,684715100.0,73536.0,2015_05
ALTO PINO,645065300.0,70070.0,2015_06
ALTO PINO,660786800.0,70303.0,2015_07
ALTO PINO,680563600.0,73017.0,2015_08
ALTO PINO,577708200.0,63301.0,2015_09
ALTO PINO,647896600.0,70941.0,2015_10
ALTO PINO,613582200.0,68153.0,2015_11
ALTO PINO,763583800.0,86405.0,2015_12
ALTO PINO,711399300.0,78230.0,2016_01
ALTO PINO,658404800.0,68291.0,2016_02
ALTO PINO,742849600.0,77989.0,2016_03
ALTO PINO,700097200.0,71805.0,2016_04
ALTO PINO,840477200.0,83063.0,2016_05
ALTO PINO,775326500.0,77763.0,2016_06
ALTO PINO,779730000.0,79065.0,2016_07
ALTO PINO,764325800.0,75793.0,2016_08
ALTO PINO,729998300.0,74170.0,2016_09
ALTO PINO,772537000.0,78084.0,2016_10
ALTO PINO,821051400.0,83090.0,2016_11
ALTO PINO,938535100.0,96055.0,2016_12
ALTO PINO,854625100.0,85047.0,2017_01
ALTO PINO,787179300.0,75379.0,2017_02
ALTO PINO,909125900.0,86621.0,2017_03
ALTO PINO,855524700.0,83183.0,2017_04
ALTO PINO,1032711600.0,95446.0,2017_05
ALTO PINO,936704200.0,87838.0,2017_06
ALTO PINO,1037302800.0,94486.0,2017_07
ALTO PINO,1027317400.0,94905.0,2017_08
ALTO PINO,949416200.0,92692.0,2017_09
ALTO PINO,1011560700.0,95249.0,2017_10
ALTO PINO,905728600.0,89632.0,2017_11
ALTO PINO,1116498900.0,111334.0,2017_12
ALTO PINO,1040235000.0,181820.0,2018_01
ALTO PINO,901487100.0,130604.0,2018_02
ALTO PINO,1047426700.0,154935.0,2018_03
ALTO PINO,999982600.0,143557.0,2018_04
ALTO PINO,994672300.0,145362.0,2018_05
ALTO PINO,958756300.0,149184.0,2018_06
