,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
191,ESP,,ASTA,Espinal,Tolima,Aeródromo,,,,,,,,,,,,,,,5.0,73,73268
192,ETO,,EL TORNILLO,Rionegro,Santander,Aeródromo,7.6222,-73.608,INVERSIONES GERBEL S.A.S.,CELTA LTDA.,1020.0,18.0,2000.0,,230.0," 7086,000",,,1A,Fumigación,41.0,68,68615
193,EVC,,EL VIGIA,Villanueva,Casanare,Aeródromo,4.5543,-72.9157,EDUARDO VALENZUELA PLATA,FUMIVILLA LTDA,660.0,10.0,2000.0,,662.0," 2471,000",,2016-06-12,1A,Fumigación,5.0,85,85440
194,EYP,EYP,EL ALCARAVAN,Yopal,Casanare,Nacional,5.3191,-72.3842,AEROCIVIL,AEROCIVIL,2250.0,30.0,,,1016.0,"  984,000",1987-02-02,,3C,Aerocivil,92726.0,85,85001
195,FCA,,FASCA,Aguazul,Casanare,Aeródromo,5.1553,-72.5208,SFA LTDA.,SFA. LTDA.,750.0,10.0,2000.0,,868.0," 7054,000",,,1A,Fumigación,257.0,85,85010
196,FDA,,FUNDACION,Fundación,Magdalena,Aeródromo,,,,,,,,,,,,,,,16.0,47,47288
197,FLA,FLA,GUSTAVO ARTUNDUAGA PAREDES,Florencia,Caquetá,Nacional,1.589,-75.5643,AEROCIVIL,AEROCIVIL,1500.0,30.0,,,803.0,"  984,000",1987-02-02,,3C,Aerocivil,16997.0,18,18001
198,FOO,,LA LUNA,Fuente de Oro,Meta,Aeródromo,3.4492,-73.5844,GIOVANNI OROZCO,FARI LTDA,800.0,10.0,2000.0,,935.0," 4445,000",,,1A,Fumigación,10.0,50,50287
199,FRO,,FRONTINO EL PLATEADO,Frontino,Antioquia,Aeródromo,6.7221,-76.1465,MUNICIPIO,MUNICIPIO,800.0,18.0,5000.0,,5577.0," 5958,000",,,1A,Público,276.0,5,5284
200,FUL,,SAN LUIS,Fuente de Oro,Meta,Aeródromo,3.5019,-73.6697,FARI LTDA.,FARI LTDA,1000.0,15.0,2000.0,,980.0," 4506,000",,2015-10-02,2A,Fumigación,31.0,50,50287
