,NombreEstacionPeaje,Recaudo,Tráfico,Cod_fecha
243,TARAPACA II,2986138950,223729.0,2018Abr
244,TARAPACA II,2962921000,221877.0,2018May
245,TARAPACA II,2630667350,201231.0,2018Jun
246,TARAPACA II,3309310900,252421.0,2018Jul
247,TARAPACA II,3265496920,247129.0,2018Ago
248,TARAPACA II,2951339550,221736.0,2018Sept
249,TARAPACA II,3192714200,241749.0,2018Oct
250,TARAPACA II,3099873450,234737.0,2018Nov
251,TARAPACA II,3741410950,290338.0,2018Dic
252,CAIQUERO,2697993900,275069.0,2016Ene
253,CAIQUERO,1713553500,142564.0,2016Feb
254,CAIQUERO,2249529000,208017.0,2016Mar
255,CAIQUERO,1722131000,143959.0,2016Abr
256,CAIQUERO,1953870100,175161.0,2016May
257,CAIQUERO,2049783000,184340.0,2016Jun
258,CAIQUERO,2340131400,211533.0,2016Jul
259,CAIQUERO,2119321100,186802.0,2016Ago
260,CAIQUERO,1844934500,159077.0,2016Sep
261,CAIQUERO,2186347300,200521.0,2016Oct
262,CAIQUERO,2139540600,191994.0,2016Nov
263,CAIQUERO,2677938000,258301.0,2016Dic
264,CAIQUERO,2951261200,9247.387096774193,2017Ene
265,CAIQUERO,1827939600,5304.535714285715,2017Feb
266,CAIQUERO,2047183500,5521.903225806452,2017Mar
267,CAIQUERO,2367093600,7096.6,2017Abr
268,CAIQUERO,2037190500,5482.451612903225,2017May
269,CAIQUERO,2334040000,6913.1,2017Jun
270,CAIQUERO,2406472700,6856.580645161291,2017Jul
271,CAIQUERO,2366753300,6578.677419354839,2017Ago
272,CAIQUERO,2007601800,5510.333333333333,2017Sep
273,CAIQUERO,2413424000,6713.967741935484,2017Oct
274,CAIQUERO,2327374300,6530.133333333333,2017Nov
275,CAIQUERO,3043060300,9125.90322580645,2017Dic
276,CAIQUERO,3191132000,297080.0,2018Ene
277,CAIQUERO,1969910900,153451.0,2018Feb
278,CAIQUERO,2560241500,219167.0,2018Mar
279,CAIQUERO,2190464000,176086.0,2018Abr
280,CAIQUERO,2213739900,176462.0,2018May
281,CAIQUERO,2504217500,214556.0,2018Jun
282,CAIQUERO,2677518700,226198.0,2018Jul
283,CAIQUERO,2513286500,207882.0,2018Ago
284,CAIQUERO,2199666500,173691.0,2018Sept
285,CAIQUERO,2502540000,208560.0,2018Oct
286,CAIQUERO,2485043300,203104.0,2018Nov
287,CAIQUERO,3194011000,282390.0,2018Dic
288,SIBERIA,5765465800,593082.0,2016Ene
289,SIBERIA,4637033700,434027.0,2016Feb
290,SIBERIA,5428431300,521217.0,2016Mar
291,SIBERIA,4849502500,453812.0,2016Abr
292,SIBERIA,5272959500,506815.0,2016May
293,SIBERIA,5275830900,504687.0,2016Jun
294,SIBERIA,5715199200,549385.0,2016Jul
295,SIBERIA,5382663500,509549.0,2016Ago
296,SIBERIA,4874961500,457250.0,2016Sep
297,SIBERIA,5387707900,517612.0,2016Oct
298,SIBERIA,5121574700,489411.0,2016Nov
299,SIBERIA,5885660300,577447.0,2016Dic
300,SIBERIA,5972806000,18577.548387096773,2017Ene
301,SIBERIA,4650096500,14894.5,2017Feb
302,SIBERIA,5214721500,15244.290322580646,2017Mar
303,SIBERIA,5539743000,17252.133333333335,2017Abr
304,SIBERIA,5366524700,15689.41935483871,2017May
305,SIBERIA,5569427400,17214.566666666666,2017Jun
306,SIBERIA,5765286900,17110.58064516129,2017Jul
307,SIBERIA,5741485500,16980.225806451614,2017Ago
308,SIBERIA,5198974300,15719.8,2017Sep
309,SIBERIA,5837034200,17218.774193548386,2017Oct
310,SIBERIA,5690321000,17231.133333333335,2017Nov
311,SIBERIA,6650441200,20120.870967741936,2017Dic
312,SIBERIA,6544320100,601053.0,2018Ene
313,SIBERIA,5119903100,440175.0,2018Feb
314,SIBERIA,6072689200,539342.0,2018Mar
315,SIBERIA,5539762400,480563.0,2018Abr
316,SIBERIA,5688328100,492264.0,2018May
317,SIBERIA,6033830200,532519.0,2018Jun
318,SIBERIA,6338876200,558465.0,2018Jul
319,SIBERIA,6214521600,543760.0,2018Ago
320,SIBERIA,5754896300,498169.0,2018Sept
321,SIBERIA,6142474200,537613.0,2018Oct
322,SIBERIA,6031481900,525803.0,2018Nov
323,SIBERIA,7088451900,636909.0,2018Dic
324,BOQUERON I Y BOQUERON II,7536085700,438592.0,2016Ene
325,BOQUERON I Y BOQUERON II,6216209400,313211.0,2016Feb
326,BOQUERON I Y BOQUERON II,6709165400,374909.0,2016Mar
327,BOQUERON I Y BOQUERON II,5917139500,304595.0,2016Abr
328,BOQUERON I Y BOQUERON II,5962423900,340728.0,2016May
329,BOQUERON I Y BOQUERON II,5861111200,336393.0,2016Jun
330,BOQUERON I Y BOQUERON II,5645120200,356542.0,2016Jul
331,BOQUERON I Y BOQUERON II,6164949900,343649.0,2016Ago
332,BOQUERON I Y BOQUERON II,5969096000,317735.0,2016Sep
333,BOQUERON I Y BOQUERON II,6318608100,370791.0,2016Oct
334,BOQUERON I Y BOQUERON II,6216527300,351529.0,2016Nov
335,BOQUERON I Y BOQUERON II,7219417200,416282.0,2016Dic
336,BOQUERON I Y BOQUERON II,7119527900,13723.709677419354,2017Ene
337,BOQUERON I Y BOQUERON II,5620809000,10484.82142857143,2017Feb
338,BOQUERON I Y BOQUERON II,6497753800,10883.935483870968,2017Mar
339,BOQUERON I Y BOQUERON II,6554078200,12163.7,2017Abr
340,BOQUERON I Y BOQUERON II,6214560300,10613.516129032258,2017May
341,BOQUERON I Y BOQUERON II,6184240300,11178.666666666666,2017Jun
342,BOQUERON I Y BOQUERON II,6309341000,10925.516129032258,2017Jul
343,BOQUERON I Y BOQUERON II,6640227100,11457.967741935485,2017Ago
344,BOQUERON I Y BOQUERON II,6222837900,10462.7,2017Sep
345,BOQUERON I Y BOQUERON II,6723283900,11834.741935483871,2017Oct
346,BOQUERON I Y BOQUERON II,6532960600,11570.699999999999,2017Nov
347,BOQUERON I Y BOQUERON II,7678605300,13943.677419354837,2017Dic
348,BOQUERON I Y BOQUERON II,7475774400,424730.0,2018Ene
349,BOQUERON I Y BOQUERON II,5452340300,267356.0,2018Feb
350,BOQUERON I Y BOQUERON II,6745789600,362131.0,2018Mar
351,BOQUERON I Y BOQUERON II,6251286600,319917.0,2018Abr
352,BOQUERON I Y BOQUERON II,6112056100,309874.0,2018May
353,BOQUERON I Y BOQUERON II,6316902900,347000.0,2018Jun
354,BOQUERON I Y BOQUERON II,6413535200,341511.0,2018Jul
355,BOQUERON I Y BOQUERON II,5678996200,299331.0,2018Ago
356,BOQUERON I Y BOQUERON II,5820622000,283197.0,2018Sept
357,BOQUERON I Y BOQUERON II,6887029700,348864.0,2018Oct
358,BOQUERON I Y BOQUERON II,6858445000,344823.0,2018Nov
359,BOQUERON I Y BOQUERON II,7799783800,419129.0,2018Dic
360,NARANJAL,6151722300,393792.0,2016Ene
361,NARANJAL,5060256600,274556.0,2016Feb
362,NARANJAL,5414160600,330945.0,2016Mar
363,NARANJAL,4787062400,266336.0,2016Abr
364,NARANJAL,4757354600,294629.0,2016May
365,NARANJAL,4686506700,293574.0,2016Jun
366,NARANJAL,4450845900,308578.0,2016Jul
367,NARANJAL,4923661000,297455.0,2016Ago
368,NARANJAL,4778198800,274606.0,2016Sep
369,NARANJAL,4948709500,319896.0,2016Oct
370,NARANJAL,4876931300,300527.0,2016Nov
371,NARANJAL,5620365000,358023.0,2016Dic
372,NARANJAL,5614381700,12028.258064516129,2017Ene
373,NARANJAL,4431196700,8923.82142857143,2017Feb
374,NARANJAL,5142887900,9350.774193548386,2017Mar
375,NARANJAL,5161596100,10506.733333333334,2017Abr
376,NARANJAL,4796724000,8937.387096774193,2017May
377,NARANJAL,4763385500,9376.666666666666,2017Jun
378,NARANJAL,4907730500,9237.129032258064,2017Jul
379,NARANJAL,5231339300,9898.741935483871,2017Ago
380,NARANJAL,4872098200,8936.7,2017Sep
381,NARANJAL,5221254300,10170.935483870968,2017Oct
382,NARANJAL,5089617700,9863.733333333334,2017Nov
383,NARANJAL,5966037200,12046.354838709678,2017Dic
384,NARANJAL,5846016700,371073.0,2018Ene
385,NARANJAL,4148017200,220522.0,2018Feb
386,NARANJAL,5174756700,307081.0,2018Mar
387,NARANJAL,4763734700,269005.0,2018Abr
388,NARANJAL,4568986800,251936.0,2018May
389,NARANJAL,4794435700,293282.0,2018Jun
390,NARANJAL,4804665900,281950.0,2018Jul
391,NARANJAL,4102835900,234460.0,2018Ago
392,NARANJAL,4277302600,225968.0,2018Sept
393,NARANJAL,5158328700,291074.0,2018Oct
394,NARANJAL,5119970000,285413.0,2018Nov
395,NARANJAL,5920576500,355037.0,2018Dic
396,PIPIRAL,8372611900,383422.0,2016Ene
397,PIPIRAL,6619738600,263307.0,2016Feb
398,PIPIRAL,7234529200,319108.0,2016Mar
399,PIPIRAL,6196049300,253478.0,2016Abr
400,PIPIRAL,6285601600,281955.0,2016May
401,PIPIRAL,6273832600,282980.0,2016Jun
402,PIPIRAL,6118412800,300970.0,2016Jul
403,PIPIRAL,6586463900,287844.0,2016Ago
404,PIPIRAL,6369893100,266136.0,2016Sep
405,PIPIRAL,6809738000,314772.0,2016Oct
406,PIPIRAL,6670045700,296512.0,2016Nov
407,PIPIRAL,7830049400,354844.0,2016Dic
408,PIPIRAL,7947097400,11952.064516129032,2017Ene
409,PIPIRAL,6027843200,8850.464285714286,2017Feb
410,PIPIRAL,7043825700,9281.09677419355,2017Mar
411,PIPIRAL,7222426400,10487.933333333332,2017Abr
412,PIPIRAL,6622541700,8905.064516129032,2017May
413,PIPIRAL,6590708400,9310.233333333334,2017Jun
414,PIPIRAL,6757223900,9132.451612903225,2017Jul
415,PIPIRAL,7236455600,9835.161290322581,2017Ago
416,PIPIRAL,6674712800,8876.2,2017Sep
417,PIPIRAL,7266656300,10130.645161290322,2017Oct
418,PIPIRAL,7073070600,9855.866666666667,2017Nov
