Centro Poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
AGUAS VIVAS,LAS FLORES,13.410415492345,True,LAS FLORES,13.410415492345,LAS BRUJAS,84.2346925850147,LOS GARZONES,165.867966875799,RAFAEL NUÑEZ,118.852245959187,Aeródromo
EL CERRITO,INGENIO PROVIDENCIA,5.18552660548357,True,INGENIO PROVIDENCIA,5.18552660548357,FARFAN HERIBERTO GIL MAR,46.645646171925,BUENAVENTURA-GERARDO TOBAR LOPEZ,76.7380508762412,ALFONSO BONILLA ARAGON,17.511989231313,Internacional
HIBACHARO,EL CAIRANO,14.1451459901729,True,EL CAIRANO,14.1451459901729,TOLU,142.862299611471,ALFONSO LOPEZ PUMAREJO,208.500267236763,ERNESTO CORTISSOZ,43.30418315448,Aeródromo
POLONUEVO,ERNESTO CORTISSOZ,14.7965721128053,True,URACA - CA.,26.4724934493024,TOLU,162.171910098408,ALFONSO LOPEZ PUMAREJO,179.492450413045,ERNESTO CORTISSOZ,14.7965721128053,Internacional
PITAL DEL CARLÍN (PITALITO),ERNESTO CORTISSOZ,10.8832420516497,True,URACA - CA.,23.4250912513479,TOLU,166.151886372235,ALFONSO LOPEZ PUMAREJO,178.882762504564,ERNESTO CORTISSOZ,10.8832420516497,Internacional
PONEDERA,ERNESTO CORTISSOZ,27.7119524383727,True,EL ESFUERZO,34.2133320623421,TOLU,155.398888863929,ALFONSO LOPEZ PUMAREJO,166.068854367882,ERNESTO CORTISSOZ,27.7119524383727,Internacional
LA RETIRADA,EL ESFUERZO,32.828529625602,True,EL ESFUERZO,32.828529625602,LAS BRUJAS,145.100207448559,ALFONSO LOPEZ PUMAREJO,155.690656117331,ERNESTO CORTISSOZ,46.0769244814724,Aeródromo
MARTILLO,EL ESFUERZO,27.9372748724983,True,EL ESFUERZO,27.9372748724983,TOLU,149.301308443447,ALFONSO LOPEZ PUMAREJO,174.163906458627,ERNESTO CORTISSOZ,29.6568602079371,Internacional
PUERTO GIRALDO,EL ESFUERZO,19.014554107934,True,EL ESFUERZO,19.014554107934,TOLU,139.13814867682,ALFONSO LOPEZ PUMAREJO,171.474900120971,ERNESTO CORTISSOZ,42.9418198812495,Aeródromo
CASCAJAL,FLAMINIO S. CAMACHO,19.5670368942691,True,FLAMINIO S. CAMACHO,19.5670368942691,JOSE CELESTINO,85.2770086978681,VANGUARDIA,106.831246401097,EL DORADO,29.1503202230279,Internacional
PUERTO COLOMBIA,CESAR GAVIRIA TRUJILLO,130.87635526095,False,JIBICI,256.064821376223,CESAR GAVIRIA TRUJILLO,130.87635526095,SANTIAGO PEREZ QUIROZ,597.033892265078,EL DORADO,762.422230493293,Sin cobertura
SABANILLA (MONTE CARMELO),URACA - CA.,4.10820232410611,True,URACA - CA.,4.10820232410611,TOLU,185.516097837888,ALFONSO LOPEZ PUMAREJO,194.373078930673,ERNESTO CORTISSOZ,22.6519564203101,Internacional
REPELÓN,CASTILLO - CA,16.9619368207971,True,CASTILLO - CA,16.9619368207971,TOLU,120.457009288231,LOS GARZONES,200.892253108954,RAFAEL NUÑEZ,42.6799502916068,Aeródromo
ARROYO NEGRO,EL CAIRANO,20.1903662349901,True,EL CAIRANO,20.1903662349901,TOLU,127.248833051011,LOS GARZONES,207.852083665362,RAFAEL NUÑEZ,42.1118821703811,Aeródromo
CIEN PESOS,EL CAIRANO,19.9636434077538,True,EL CAIRANO,19.9636434077538,TOLU,121.227563136999,LOS GARZONES,201.893744969655,RAFAEL NUÑEZ,33.7255925122476,Internacional
LAS TABLAS,EL TAMBO,21.3978600135414,True,EL TAMBO,21.3978600135414,TOLU,119.252356109879,LOS GARZONES,199.917607026974,RAFAEL NUÑEZ,32.9278384243976,Internacional
ROTINET,CASTILLO - CA,15.4165062979297,True,CASTILLO - CA,15.4165062979297,TOLU,126.14670732256,ALFONSO LOPEZ PUMAREJO,199.634693948466,RAFAEL NUÑEZ,48.9264037667454,Aeródromo
VILLA ROSA,CASTILLO - CA,14.6107076619926,True,CASTILLO - CA,14.6107076619926,TOLU,112.03048558695,LOS GARZONES,192.312485729793,RAFAEL NUÑEZ,41.9603151823739,Aeródromo
PITA,EL TAMBO,20.0855390934862,True,EL TAMBO,20.0855390934862,TOLU,118.966081720487,LOS GARZONES,199.632011289643,RAFAEL NUÑEZ,31.6473858210434,Internacional
SABANAGRANDE,BUENOS AIRES -FADELCE,21.0843285239257,True,BUENOS AIRES -FADELCE,21.0843285239257,AGUAS CLARAS,102.133760034888,ALFONSO LOPEZ PUMAREJO,142.977846373938,CAMILO DAZA,186.057500912383,Aeródromo
AGUADA DE PABLO,CASTILLO - CA,12.5994238591062,True,CASTILLO - CA,12.5994238591062,TOLU,129.256527682685,ALFONSO LOPEZ PUMAREJO,192.27725690828,ERNESTO CORTISSOZ,47.7034752332305,Aeródromo
COLOMBIA,CANTADELICIAS,14.5849400821239,True,CANTADELICIAS,14.5849400821239,SANTIAGO VILA,99.8917224245329,PERALES,121.826042711118,BENITO SALAS,72.3212913536753,Aeródromo
ISABEL LÓPEZ,EL CAIRANO,28.9727011270993,True,EL CAIRANO,28.9727011270993,TOLU,144.539178578299,ALFONSO LOPEZ PUMAREJO,193.482371663232,ERNESTO CORTISSOZ,33.9399165257831,Internacional
LA PEÑA,EL CARMEN DE BOLIVAR,19.1779400328227,True,EL CARMEN DE BOLIVAR,19.1779400328227,LAS BRUJAS,23.743562348968,LOS GARZONES,104.739424522555,RAFAEL NUÑEZ,108.382307296343,Regional
MOLINERO,EL ALGARROBO,18.1267221255821,True,EL ALGARROBO,18.1267221255821,LAS BRUJAS,55.0645288945865,LOS GARZONES,67.3397333507065,RAFAEL NUÑEZ,180.858706127101,Aeródromo
MIRADOR,URIBE,34.5779954146396,True,URIBE,34.5779954146396,SAN MARTIN,55.157152845786,VANGUARDIA,97.9856311169749,EL DORADO,140.594482876274,Aeródromo
GALLEGO,LA JAGUA,33.2478983832976,True,LA JAGUA,33.2478983832976,CONTADOR,46.9459370169921,GUILLERMO LEON VALENCIA,74.2357815971226,BENITO SALAS,107.04988792164,Aeródromo
PATILLA,SAN JUAN DEL CESAR,29.272992048563,True,SAN JUAN DEL CESAR,29.272992048563,JORGE ISAACS (LA MINA),147.727477196412,ALFONSO LOPEZ PUMAREJO,73.5265133607703,ALMIRANTE PADILLA,67.0153684003096,Aeródromo
ALGODONAL,AGUAS CLARAS,14.8372242818467,True,SANTA LUCIA,18.5216695321234,AGUAS CLARAS,14.8372242818467,YARIGUIES,140.535807874538,CAMILO DAZA,92.9677779477934,Regional
SANTO TOMÁS,LAS BRUJAS,8.81436458019335,True,EL CARMEN DE BOLIVAR,37.3874892343275,LAS BRUJAS,8.81436458019335,LOS GARZONES,90.0861366094933,RAFAEL NUÑEZ,125.008352277366,Regional
SOLEDAD,BUENOS AIRES -FADELCE,54.4000245711911,False,BUENOS AIRES -FADELCE,54.4000245711911,AGUAS CLARAS,64.392142688876,ALFONSO LOPEZ PUMAREJO,173.763946031936,CAMILO DAZA,129.595098457091,Sin cobertura
SUAN,EL ESFUERZO,12.2177262531786,True,EL ESFUERZO,12.2177262531786,TOLU,119.9330786396,ALFONSO LOPEZ PUMAREJO,178.872135234543,ERNESTO CORTISSOZ,62.5975448409345,Aeródromo
TUBARÁ,URACA - CA.,15.9685367361755,True,URACA - CA.,15.9685367361755,TOLU,165.604061210647,ALFONSO LOPEZ PUMAREJO,195.161827935298,ERNESTO CORTISSOZ,21.6693628316144,Internacional
EL MORRO,JORGE E. GONZALEZ T.,25.2359747471859,True,MAPIRIPAN,45.5110269143138,JORGE E. GONZALEZ T.,25.2359747471859,VANGUARDIA,220.42855405609,EL DORADO,303.555738157207,Regional
GUAIMARAL,COVEÑAS,15.9759392728918,True,COVEÑAS,15.9759392728918,TOLU,19.5867347497491,LOS GARZONES,63.7970352590345,RAFAEL NUÑEZ,123.219851499924,Regional
JUARUCO,URACA - CA.,10.9186681960958,True,URACA - CA.,10.9186681960958,TOLU,171.037827735511,ALFONSO LOPEZ PUMAREJO,197.403721565356,ERNESTO CORTISSOZ,22.6747923145788,Internacional
CORRAL DE SAN LUIS,URACA - CA.,15.2056453116016,True,URACA - CA.,15.2056453116016,TOLU,166.700123616212,ALFONSO LOPEZ PUMAREJO,198.273279091334,ERNESTO CORTISSOZ,24.2171995702889,Internacional
PLAYA MENDOZA,URACA - CA.,17.145699566493,True,URACA - CA.,17.145699566493,TOLU,166.038278652861,ALFONSO LOPEZ PUMAREJO,202.245220263991,ERNESTO CORTISSOZ,28.1291976281612,Internacional
PLAYAS DE EDRIMÁN,URACA - CA.,20.7315600226787,True,URACA - CA.,20.7315600226787,TOLU,163.239523377362,ALFONSO LOPEZ PUMAREJO,204.920199902318,ERNESTO CORTISSOZ,31.3131630913864,Internacional
VILLAS DE PALMARITO,URACA - CA.,19.2680212236347,True,URACA - CA.,19.2680212236347,TOLU,164.156727463396,ALFONSO LOPEZ PUMAREJO,203.43695561801,ERNESTO CORTISSOZ,29.6883969595563,Internacional
NUEVA ESPERANZA,TOLU,15.9907059790116,True,COVEÑAS,25.4026692198628,TOLU,15.9907059790116,LOS GARZONES,78.6934104303485,RAFAEL NUÑEZ,112.268377358931,Regional
USIACURÍ,ERNESTO CORTISSOZ,26.9156740821323,True,URACA - CA.,29.8696433651345,TOLU,152.494103488204,ALFONSO LOPEZ PUMAREJO,191.904879479302,ERNESTO CORTISSOZ,26.9156740821323,Internacional
"BOGOTÁ, DISTRITO CAPITAL",EL DORADO,7.21322529297458,True,FLAMINIO S. CAMACHO,18.647530806448,SANTIAGO VILA,86.9897011069715,VANGUARDIA,76.5051883878193,EL DORADO,7.21322529297458,Internacional
NAZARETH,PUERTO ESTRELLA,19.5795906396847,True,PUERTO ESTRELLA,19.5795906396847,PUERTO BOLIVAR,76.4634672635165,ALFONSO LOPEZ PUMAREJO,288.818503877406,ALMIRANTE PADILLA,192.926282332221,Aeródromo
PASQUILLA,VILLA GEORGINA,20.4466959254748,True,VILLA GEORGINA,20.4466959254748,SANTIAGO VILA,73.3901125974818,VANGUARDIA,67.4331859343624,EL DORADO,28.6349893826413,Internacional
SAN JUAN,CESAR GAVIRIA TRUJILLO,47.392008027078,False,JIBICI,159.538734679284,CESAR GAVIRIA TRUJILLO,47.392008027078,SANTIAGO PEREZ QUIROZ,515.415601272921,CAMILO DAZA,724.202059549703,Sin cobertura
MOCHUELO ALTO,EL DORADO,23.6519111277171,True,VILLA GEORGINA,23.7958275714069,SANTIAGO VILA,75.6531729914135,VANGUARDIA,69.071594030717,EL DORADO,23.6519111277171,Internacional
CHORRILLOS,FLAMINIO S. CAMACHO,4.82803031340014,True,FLAMINIO S. CAMACHO,4.82803031340014,SANTIAGO VILA,95.9095957618607,VANGUARDIA,86.5049572009256,EL DORADO,10.5299880543443,Internacional
