,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
586,MTT,,CACHIPORRO,Mitú,Vaupés,Aeródromo,,,,,,,,,,,,,,,188.0,97,97001
587,MTU,,MATUPA,San Martín,Meta,Aeródromo,,,,,,,,,,,,,,,1565.0,50,50689
588,MUR,,TAPURUCUARA,Mitú,Vaupés,Aeródromo,1.4717,-70.1631,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,450.0,15.0,2700.0,,880.0," 3423,000",,,1A,Público,2123.0,97,97001
589,MUT,,ATAHUALPA,Mutatá,Antioquia,Aeródromo,,,,,,,,,,,,,,,7.0,5,5480
590,MUZ,,MUZO,Muzo,Boyacá,Aeródromo,5.5472,-74.1128,MUNICIPIO,MUNICIPIO,800.0,16.0,6400.0,,2952.0,,,,1A,Público,,15,15480
591,MVA,,VILLA GLADYS,Mitú,Vaupés,Aeródromo,0.2607,-71.3566,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,950.0,15.0,12202.0,,493.0,"   45,000",,,1A,Público,237.0,97,97001
592,MVI,,VILLA FATIMA,Mitú,Vaupés,Aeródromo,0.9744,-69.9569,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,510.0,10.0,1650.0,,680.0," 3423,000",,,1A,Público,411.0,97,97001
593,MVN,,VILLA NUEVA,Mitú,Vaupés,Aeródromo,0.2732,-70.4491,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,375.0,12.0,1650.0,,590.0,"   45,000",,,1A,Público,33.0,97,97001
594,MVP,MVP,FABIO A. LEON BENTLEY,Mitú,Vaupés,Regional,1.2535,-70.2341,MUNICIPIO,AEROCIVIL,1880.0,30.0,,,680.0,"   34,000",1958-02-19,,3C,Aerocivil,35858.0,97,97001
595,MVU,,LOS ANGELES,Mitú,Vaupés,Aeródromo,0.5767,-70.13,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,390.0,10.0,1650.0,,640.0,"   45,000",,,1A,Público,256.0,97,97001
596,MWA,,WAINAMBI,Mitú,Vaupés,Aeródromo,0.8667,-69.6172,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,360.0,10.0,1650.0,,650.0," 3423,000",,,1A,Público,181.0,97,97001
597,MWY,,WASAY,Mitú,Vaupés,Aeródromo,1.6608,-70.0194,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,390.0,15.0,1650.0,,700.0," 3423,000",,,1A,Público,78.0,97,97001
598,MYA,,YAPU,Mitú,Vaupés,Aeródromo,0.6217,-70.3517,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,540.0,20.0,5000.0,,600.0," 3423,000",,,1A,Público,2067.0,97,97001
599,MYY,VAB,YAVARATE,Mitú,Vaupés,Aeródromo,0.6117,-69.2072,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,490.0,15.0,1650.0,,400.0," 3423,000",,,1A,Público,585.0,97,97001
600,MZL,MZL,LA NUBIA,Manizales,Caldas,Nacional,5.0298,-75.4667,FODECAL,FODECAL,1000.0,15.0,15876.0,,6866.0,"  623,000",,,2A,Público,38890.0,17,17001
601,NAR,,PUERTO NARE,Puerto Nare,Antioquia,Aeródromo,6.2102,-74.5902,CEMENTOS ARGOS S.A.,CEMENTOS ARGOS S.A.,1000.0,20.0,9000.0,,130.0," 4504,000",,2015-09-12,2B,Privado,1298.0,5,5585
602,NAT,,SAN GERMAN,Natagaima,Tolima,Aeródromo,,,,,,,,,,,,,,,50.0,73,73483
603,NCC,,LA REFORMA,Nunchía,Casanare,Aeródromo,5.4293,-72.163,JUAN BERNARDO SERRANO A.,JUAN B. SERRANO ARDILA,700.0,10.0,2000.0,,308.0,"  471,000",,2016-04-09,1A,Fumigación,1.0,85,85225
604,NCI,NCI,NECOCLI,Necoclí,Antioquia,Aeródromo,8.45,-76.7833,MUNICIPIO,MUNICIPIO,833.0,15.0,5680.0,,60.0," 5917,000",,,1B,Público,979.0,5,5490
605,NFA,,NUEVA FORTUNA,Necoclí,Antioquia,Aeródromo,8.6167,-76.6667,MUNICIPIO,MUNICIPIO,300.0,10.0,1300.0,,550.0," 2989,000",,,1A,Público,5.0,5,5490
606,NIA,,LA NEVERA,Nunchía,Casanare,Aeródromo,5.5128,-72.1314,MAURICIO OLMOS,AGILL S.A.S.,800.0,10.0,3000.0,,3100.0," 5053,000",,2017-10-07,1A,Fumigación,1.0,85,85225
607,NQU,NQU,REYES MURILLO,Nuquí,Chocó,Regional,5.712,-77.2627,AEROCIVIL,AEROCIVIL,930.0,10.0,,,13.0,"    2,279",1975-08-21,,1A,Aerocivil,13940.0,27,27495
608,NUA,,LA CEIBA,Nunchía,Casanare,Aeródromo,5.4468,-72.0059,ISMENIA CARREÑO MARTINEZ,FUMIVILLA LTDA,900.0,10.0,3000.0,,656.0," 2497,000",,,1A,Fumigación,,85,85225
609,NUC,,LA FLORA,San Luis de Palenque,Casanare,Aeródromo,5.2097,-71.8106,GERARDO ZAMBRANO GUIO,PERENCO COLOMBIA LIMITED,640.0,15.0,12202.0,,539.0,"  933,000",,,1A,Privado,1735.0,85,85325
610,NUE,,NUEVO MUNDO,Trinidad,Casanare,Aeródromo,5.5318,-71.8239,INPROARROZ LTDA,SAO E.U.,800.0,10.0,2000.0,,574.0,"  703,000",,,1A,Fumigación,,85,85430
611,NUH,,NUNCHIA LOS LIBERTADORES,Nunchía,Casanare,Aeródromo,,,,,,,,,,,,,,,7.0,85,85225
612,NUN,,EL DESECHO,Nunchía,Casanare,Aeródromo,5.6194,-72.0639,MIREYA MARTIN HUERTAS,EL MISMO,950.0,14.0,2000.0,,820.0," 6057,000",,,1A,Fumigación,1.0,85,85225
613,NUT,,PALMAROSA,Nunchía,Casanare,Aeródromo,5.5663,-72.0669,FLORENCIO VARGAS PATIÑO,FIBA S.A.,800.0,10.0,2000.0,,744.0," 1943,000",,2016-05-09,1A,Fumigación,,85,85225
614,NUV,,NUEVA UNION- CA,Santa Ana,Magdalena,Aeródromo,9.6639,-73.9265,MAURICIO E. VASQUEZ M.,EL MISMO,290.0,10.0,600.0,,196.0,"  173,000",,2018-02-04,UL,Privado,1.0,47,47707
615,NVA,NVA,BENITO SALAS,Neiva,Huila,Internacional,2.9499,-75.2941,AEROCIVIL,AEROCIVIL,1600.0,40.0,,,1464.0,"   57,000",1958-02-28,,3C,Aerocivil,65289.0,41,41001
616,NYY,,NUEVA YORK,Espinal,Tolima,Aeródromo,4.1333,-74.9,ALVARO ARAGON,FATOL LTDA.,700.0,10.0,2000.0,,1000.0," 5836,000",,2016-11-05,1A,Fumigación,,73,73268
617,OBA,,PRAGA,Obando,Valle del Cauca,Aeródromo,4.5889,-75.9681,ANGELA MARIA LEON LEMUS,ARFA S.A.,700.0,10.0,2000.0,,3041.0," 4937,000",,,1A,Fumigación,17.0,76,76497
618,OCE,,EL VIEJO CARMEN,Orocué,Casanare,Aeródromo,4.8978,-71.5681,INVERSIONES LA COLONIA S.A.,LA CEIBA S.A.,685.0,10.0,2000.0,,492.0," 1325,000",,2018-06-11,1A,Privado,7.0,85,85230
619,OCU,,BUENAVISTA,Orocué,Casanare,Aeródromo,4.8441,-71.5079,INVERSIONES LA COLONIA LTDA,LA CEIBA S.A.,900.0,15.0,2000.0,,469.0," 1325,000",,2018-06-11,1A,Privado,13.0,85,85230
620,OCV,OCV,AGUAS CLARAS,Ocaña,Norte de Santander,Regional,8.3156,-73.3583,AEROCIVIL,AEROCIVIL,1200.0,30.0,19000.0,,3850.0," 2363,000",1971-09-03,,2C,Aerocivil,2566.0,54,54498
621,OOR,,SAN PABLO,Orocué,Casanare,Aeródromo,4.7856,-71.6231,FERNANDO ADOLFO REYES I.,FERNANDO ADOLFO REYES I.,1175.0,15.0,3000.0,,472.0," 3214,000",,2015-08-03,1A,Privado,20.0,85,85230
622,OPA,,RIOPAILA,Zarzal,Valle del Cauca,Aeródromo,4.3174,-76.0975,RIOPAILA CASTILLA S.A.,RIOPAILA CASTILLA S.A.,800.0,18.0,5670.0,,3179.0," 6471,000",,2016-12-06,1A,Fumigación,,76,76895
623,ORA,,GUARILAQUE,Orocué,Casanare,Aeródromo,4.892,-71.5866,FERNANDO REYES ISAZA,PERENCO COLOMBIA LIMITED,600.0,18.0,5000.0,,509.0," 7235,000",,2017-01-03,1A,Privado,1570.0,85,85230
624,ORC,ORC,OROCUE,Orocué,Casanare,Aeródromo,4.7903,-71.3484,MUNICIPIO,MUNICIPIO,1480.0,25.0,22000.0,,550.0," 3559,000",,,1A,Público,5834.0,85,85230
625,ORE,,EL CAIMAN,Orocué,Casanare,Aeródromo,4.855,-71.6811,INVERSIONES LOS CEDROS,INVERS. LOS CEDROS,700.0,16.0,3500.0,,485.0," 5960,000",,,1A,Privado,19.0,85,85230
626,ORH,,ORIHUECA,Ciénaga,Magdalena,Aeródromo,10.8238,-74.1626,ELCIDA DIAZ GUERRERO,AEROPENORT LTDA.,720.0,10.0,3000.0,,90.0," 6068,000",,,1A,Fumigación,9.0,47,47189
627,ORI,,ORITO,Orito,Putumayo,Aeródromo,0.6665,-76.8768,ECOPETROL,ECOPETROL,754.0,23.0,,,1168.0," 2109,000",,,1B,Privado,2231.0,86,86320
628,ORJ,,LA CULEBRA,Orocué,Casanare,Aeródromo,4.9025,-71.6347,JUAN MAURICIO MEDINA NIÑO,JUAN MAURICIO MEDINA NIÑO,450.0,10.0,2000.0,,429.0," 4938,000",,,1A,Privado,17.0,85,85230
629,ORO,,GUANAPALO,Orocué,Casanare,Aeródromo,5.1741,-71.4299,TOMAS ORTEGA DIAZ,PERENCO COLOMBIA LIMITED,600.0,18.0,5000.0,,524.0," 7235,000",,2017-01-03,1A,Privado,1360.0,85,85230
630,ORR,,EL BORAL,Orocué,Casanare,Aeródromo,4.7384,-71.512,MARIA ANTONIA PAVIA DE R.,MARIA ANTONIA PAVIA DE R.,600.0,15.0,3000.0,,442.0," 3215,000",,2015-08-03,1A,Privado,1.0,85,85230
631,ORS,,SARDINAS,Orocué,Casanare,Aeródromo,4.9858,-71.5057,IGNACIA GUALDRON,PERENCO COLOMBIA LIMITED,600.0,18.0,5000.0,,521.0," 7235,000",,2017-01-03,1A,Privado,9320.0,85,85230
632,ORU,,EL MEDANO,Orocué,Casanare,Aeródromo,4.7621,-71.7184,ALBERTO MENDOZA Y OTRO,EL MISMO,885.0,15.0,4950.0,,485.0,"  828,000",2007-02-27,,1A,Privado,6.0,85,85230
633,ORX,,LA CANDELARIA,Orocué,Casanare,Aeródromo,5.1076,-71.6243,ANDRES REYES DIAZ,ANDRES REYES DIAZ,580.0,12.0,2000.0,,515.0," 7087,000",,,1A,Privado,5.0,85,85230
634,OTU,OTU,REMEDIOS OTU,Remedios,Antioquia,Regional,7.0106,-74.7156,AEROCIVIL,AEROCIVIL,950.0,12.0,,,2058.0,"  522,000",1968-07-03,,1A,Aerocivil,8663.0,5,5604
635,PAL,,PALACIO MUNICIPAL,Medellín,Antioquia,Aeródromo,,,,,,,,,,,,,,,2.0,5,5001
636,PAO,,PAOLA - CA,Restrepo,Meta,Aeródromo,4.1683,-73.5156,CONSTRUCCIONES GAMO LTDA,CLUB LA LIBELULA,180.0,10.0,500.0,,1112.0," 2138,000",,,UL,Privado,,50,50606
637,PBE,PBE,MORELA,Puerto Berrío,Antioquia,Regional,6.4599,-74.4106,AEROCIVIL,AEROCIVIL,1290.0,24.0,,,445.0,"  522,000",,,2C,Aerocivil,2460.0,5,5579
638,PBN,,NICOLAS E.SOTO,Puerto Boyacá,Boyacá,Aeródromo,,,,,,,,,,,,,,,34.0,15,15572
639,PBO,,PUERTO BOLIVAR,Uribia,La Guajira,Regional,12.2215,-71.9843,CARBONES DEL CERREJON,CARBONES DEL CERREJON,1580.0,45.0,,,98.0,"  831,000",,,3D,Privado,3507.0,44,44847
640,PBR,,LA PONDEROSA,Paratebueno,Cundinamarca,Aeródromo,,,,,,,,,,,,,,,75.0,25,25530
641,PCA,,PACOA,Pacoa,Vaupés,Aeródromo,0.0667,-71.2083,CORREGIMIENTO,CORREGIMIENTO,800.0,18.0,12202.0,,720.0," 3149,000",,,1A,Público,358.0,97,97511
642,PCE,,CUMARIBO,Puerto Carreño,Vichada,Regional,4.4464,-69.7815,GOBERNACION,GOBERNACION,900.0,15.0,26000.0,,547.0,"  407,000",,,1A,Público,10527.0,99,99001
643,PCH,,ALPES -PACHAQ.,Puerto López,Meta,Aeródromo,,,,,,,,,,,,,,,1.0,50,50573
644,PCJ,,PUERTO ALVIRA -CAÑO JABON,San Martín,Meta,Aeródromo,2.9029,-71.7496,JUNTA DE ORNATO,JUNTA DE ORNATO,1100.0,23.0,12202.0,,550.0," 5712,000",,,2C,Público,1124.0,50,50689
