,sigla,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,clase,tipo,gcd_departamento,gcd_municipio
27,7HX,PIVIJAY,La Primavera,Vichada,Aeródromo,5.1288,-69.9716,FERNANDO CUSTAS PATACON,FERNANDO CUSTAS P.,900.0,20.0,3500.0,426.0," 3063,000",1A,Privado,99,99524
28,7IA,MURIBA,Maní,Casanare,Aeródromo,4.5809,-72.2551,VITIS OLEI S.A.S.,VITIS OLEI S.A.S.,1300.0,18.0,5000.0,432.0," 4214,000",1A,Privado,85,85139
29,7IB,MAJAGUILLO,Orocué,Casanare,Aeródromo,4.832,-71.6902,FELIPE GOMEZ H. y CIA.,FELIPE GOMEZ H. y CIA.,1000.0,20.0,4800.0,499.0," 5386,000",1A,Privado,85,85230
30,7ID,LA MACOYA,Yopal,Casanare,Aeródromo,5.2262,-72.1478,ELSON HERNANDO SIERRA,ELSON H. SIERRA QUICENO,580.0,15.0,3000.0,474.0,"    9,000",1A,Privado,85,85001
31,7IF,LOS VENADOS,La Primavera,Vichada,Aeródromo,5.0666,-69.9988,GUILLERMO FRANCO RESTREPO,GUILLERMO FRANCO R.,1560.0,23.0,6500.0,475.0,"  515,000",2A,Privado,99,99524
32,7IG,LA FORTUNA 1,San Martín,Meta,Aeródromo,3.611,-72.3412,LUIS C. CASTRO M.,RAFAEL FDO. GAVIRIA A.,800.0,18.0,4000.0,482.0,"  640,000",1A,Privado,50,50689
33,7IH,LOS KIOSCOS,Puerto Gaitán,Meta,Aeródromo,3.4747,-72.2349,MARTHA I. PABON PADILLA,MARTHA I. PABON PADILLA,800.0,12.0,5000.0,770.0,"  690,000",1A,Privado,50,50568
34,7IJ,LA LORENA,Paz de Ariporo,Casanare,Aeródromo,5.6092,-70.421,BUSHIRO TAKEMOTO,BUSHIRO TAKEMOTO,800.0,15.0,3000.0,347.0," 1443,000",1A,Privado,85,85250
35,7NQ,EL PARAISO,La Primavera,Vichada,Aeródromo,5.1826,-69.6303,RUBEN D. VELASQUEZ,RUBEN D. VELASQUEZ,1100.0,20.0,3000.0,387.0," 5533,000",1A,Privado,99,99524
36,7NR,NUEVA ROMA,Plato,Magdalena,Aeródromo,9.968,-74.3303,JORGE SOLANO RECIO,JORGE SOLANO RECIO,550.0,10.0,3000.0,462.0," 4503,000",1A,Privado,47,47555
37,7NS,JAGUAR,Puerto Gaitán,Meta,Aeródromo,4.2161,-72.0275,CEPCOLSA,CEPCOLSA,1200.0,23.0,,650.0," 4940,000",2B,Privado,50,50568
38,7NT,OCELOTE,Puerto Gaitán,Meta,Aeródromo,4.2751,-71.6123,HOCOL S.A.,HOCOL S.A.,1200.0,20.0,,690.0," 5922,000",2B,Privado,50,50568
39,8CB,BANCO DE LA REPUBLICA- CONDOTO,Condoto,Chocó,Aeródromo,,,,,,,,,,,,27,27205
40,9AB,GETSEMANI,Hato Corozal,Casanare,Aeródromo,6.1506,-70.0294,MUNICIPIO,MUNICIPIO,800.0,14.0,2000.0,304.0," 2220,000",1A,Público,85,85125
41,9AC,MARIA ALEJANDRA,Nunchía,Casanare,Aeródromo,5.0054,-72.3959,CIRO GUILLERMO VEGA N.,SAMBA LTDA.,640.0,10.0,2000.0,734.0," 2493,000",1A,Fumigación,85,85225
42,9AG,LIBANO - CA,Bosconia,Cesar,Aeródromo,,,,,,,,,,,,20,20060
43,9AI,CAÑO GARZA,Paz de Ariporo,Casanare,Aeródromo,5.5917,-71.5894,PERENCO COLOMBIA LIMITED,PERENCO COLOMBIA LIMITED,640.0,15.0,12202.0,530.0,"  933,000",1A,Privado,85,85250
44,9AJ,SAN LUIS DE PACA,Mitú,Vaupés,Aeródromo,0.8744,-70.3464,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,424.0,10.0,1650.0,590.0," 3423,000",1A,Público,97,97001
45,9AK,CANANARI,Mitú,Vaupés,Aeródromo,0.545,-70.9286,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,420.0,20.0,1650.0,780.0," 3423,000",1A,Público,97,97001
46,9AL,LAS GUABINAS,Orocué,Casanare,Aeródromo,,,,,,,,,,,,85,85230
47,9AM,SAN FERNANDO,Paz de Ariporo,Casanare,Aeródromo,,,,,,,,,,,,85,85250
48,9AN,MARAREY,Orocué,Casanare,Aeródromo,4.8281,-71.0808,JULIAN VALENCIA I. Y OTROS,JULIAN VALENCIA I. Y OTROS,700.0,15.0,4800.0,498.0," 2001,000",1A,Privado,85,85230
49,9AO,SANTA CLARA,Sabanalarga,Casanare,Aeródromo,4.4172,-72.7744,ARMANDO SANCHEZ M.,TAES LTDA.,800.0,10.0,2500.0,610.0," 2137,000",1A,Fumigación,85,85300
50,9AR,SAN PABLO,Mitú,Vaupés,Aeródromo,-0.7831,-70.3228,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,510.0,10.0,1650.0,550.0," 3423,000",1A,Público,97,97001
51,9AS,SIRENAS,Trinidad,Casanare,Aeródromo,5.2541,-71.1576,PERENCO COLOMBIA LIMITED,PERENCO COLOMBIA LIMITED,600.0,18.0,5000.0,443.0," 3058,000",1A,Privado,85,85430
52,9AT,COROCITO,Puerto López,Meta,Aeródromo,3.9507,-72.2186,AGROINVERSIONES COROCITO,AGROINVERSIONES COROCITO,980.0,10.0,3000.0,544.0," 1838,000",1A,Privado,50,50573
53,9AV,EL NOGAL,Villavicencio,Meta,Aeródromo,3.9883,-73.2994,GLORIA L.TIUSO,AEROTEC LTDA.,610.0,10.0,2000.0,817.0," 4739,000",1A,Fumigación,50,50001
54,9AZ,REMACHE SUR,San Luis de Palenque,Casanare,Aeródromo,5.0832,-71.1525,DESIDERIO CHAPARRO,PERENCO COLOMBIA LIMITED,600.0,18.0,5000.0,459.0," 3058,000",1A,Privado,85,85325
55,9BA,CURUMANI,Curumaní,Cesar,Aeródromo,9.2222,-73.5722,MUNICIPIO,FADELCE,900.0,23.0,2000.0,164.0," 2989,000",2A,Fumigación,20,20228
56,9BB,SAN MIGUEL,Puerto López,Meta,Aeródromo,4.1069,-72.89,ELIZABETH CRUZ BULLA,SAAC S.A.S,670.0,10.0,2000.0,803.0,"  251,000",1A,Fumigación,50,50573
57,9BD,CURALITO - UL,Valledupar,Cesar,Aeródromo,10.2729,-73.2798,JORGE LUIS PRIETO BERRIO,JORGE LUIS PRIETO B.,330.0,12.0,500.0,1920.0," 1675,000",UL,Privado,20,20001
58,9BE,LAS VEGAS,Paz de Ariporo,Casanare,Aeródromo,6.0072,-71.2842,ALEIDA JERONIMO NAVAS,ALEIDA JERONIMO NAVAS,740.0,15.0,3500.0,430.0," 1657,000",1A,Privado,85,85250
59,9BF,LA FRANCIA,El Paso,Cesar,Aeródromo,9.6394,-73.5282,SOCIEDAD COLOMBIAN NATURAL RESOURCES,EL MISMO,1100.0,18.0,,213.0,"  962,000",1B,Privado,20,20250
60,9BH,GUAFITAS,Orocué,Casanare,Aeródromo,,,,,,,,,,,,85,85230
61,9BI,SAN FELIPE,Orocué,Casanare,Aeródromo,5.1037,-71.8425,MARIA LUCILA REYES ORDOÑEZ,MARIA LUCILA REYES O.,700.0,14.0,2000.0,554.0,"  800,000",1A,Privado,85,85230
62,9BL,LOS HALCONES,Bugalagrande,Valle del Cauca,Aeródromo,3.9178,-76.3206,DIEGO TORRES NUÑEZ,DIEGO TORRES NUÑEZ,350.0,10.0,500.0,3232.0," 6678,000",1A,Privado,76,76113
63,9BO,VENECIA DE GUANAPALO,San Luis de Palenque,Casanare,Aeródromo,5.3079,-71.9204,COLCONSTRUC LTDA,COLCONSTRUC LTDA.,1000.0,15.0,5500.0,623.0," 4873,000",1A,Privado,85,85325
64,9BS,LA COMARCA,Trinidad,Casanare,Aeródromo,,,,,,,,,,,,85,85430
65,9BW,LA FAZENDA,Puerto López,Meta,Aeródromo,4.3263,-72.2208,ALIAR S.A.,ALIAR S.A.,1200.0,12.0,5000.0,568.0," 1941,000",2B,Fumigación,50,50573
